Site,Plot,Type,Date,Order,Family,Sex,Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R1,Restored,6/16/2015,Araneae,Thomisidae,Female,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R1,Restored,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R1,Restored,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R1,Restored,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R1,Restored,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R1,Restored,6/16/2015,Araneae,Thomisidae,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R2,Restored,6/16/2015,Araneae,Thomisidae,Female,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R2,Restored,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R2,Restored,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R2,Restored,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R2,Restored,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R2,Restored,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R2,Restored,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R2,Restored,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R2,Restored,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R2,Restored,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R3,Restored,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R3,Restored,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R3,Restored,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R4,Restored,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R4,Restored,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R4,Restored,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R4,Restored,6/16/2015,Araneae,Thomisidae,Female,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R5,Restored,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R5,Restored,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R5,Restored,6/16/2015,Araneae,Thomisidae,Female,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R5,Restored,6/16/2015,Araneae,Thomisidae,Female,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R5,Restored,6/16/2015,Araneae,Thomisidae,Female,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R5,Restored,6/16/2015,Araneae,Thomisidae,Female,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
